claim_id,claim,dataset,split,backbone_layer,eval_policy,view_count,arm_a,arm_b,seed_set,n_seeds,pair_set,statistic,executable_analysis,raw_results_path,support_path,config_path_a,config_path_b,manuscript_location,notes
C01,Exact sampled pairs beat Tensor Sketch on ResNet-18 L3,UCF101,official split-1 (no val),ResNet-18 layer3 (frozen),certain,1,B4_gram (exact),CB_tsketch (Tensor Sketch),5;7;11;19;23;42;101;1337;2026,9,pair_indices/pairs_ns2048_nself64_pair0.npz,"+1.28 [+0.71, +1.85]",results/statistics/repair_report_singleview.txt section 4,results/seed_summaries/seed_level_results.csv,checkpoints/MANIFEST.csv,configs/resnet18/ucf101_resnet_ptfz_official1_noval_fc__B4_gram.json,configs/resnet18/ucf101_resnet_ptfz_official1_noval_fc__CB_tsketch.json,Abstract; 1. Introduction; 2.4. Second-order and bilinear pooling,nine seeds: pre-registered set plus sequential extension
C02,"Exact minus Tensor Sketch, fresh confirmatory seeds only",UCF101,official split-1 (no val),ResNet-18 layer3 (frozen),certain,1,B4_gram,CB_tsketch,5;11;23,3,pair_indices/pairs_ns2048_nself64_pair0.npz,"+1.77 [+0.27, +3.28]",results/statistics/repair_report_singleview.txt section 4,results/seed_summaries/seed_level_results.csv,checkpoints/MANIFEST.csv,configs/resnet18/ucf101_resnet_ptfz_official1_noval_fc__B4_gram.json,configs/resnet18/ucf101_resnet_ptfz_official1_noval_fc__CB_tsketch.json,Abstract; 1. Introduction; 2.4. Second-order and bilinear pooling,analysed separately from the sequentially-extended set
C03,On CLIP the exact-vs-sketch gap disappears,UCF101,official split-1 (no val),CLIP ViT-B/32 (frozen),certain,1,B4_gram,CB_tsketch,7;19;42;101;1337;2026,6,pair_indices/pairs_ns2048_nself64_pair0.npz,"+0.05 [-0.20, +0.29]",results/statistics/repair_report_singleview.txt section 4,results/seed_summaries/seed_level_results.csv,checkpoints/MANIFEST.csv,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__B4_gram.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__CB_tsketch.json,2.4. Second-order and bilinear pooling; 5.3. Frozen SyncCaps outperforms the tested full-fine-tuning baseline,interval spans zero
C04,Backbone x operator interaction (difference-in-differences),UCF101,official split-1 (no val),ResNet-18 L3 vs CLIP ViT-B/32,certain,1,(B4_gram - CB_tsketch) @ ResNet,(B4_gram - CB_tsketch) @ CLIP,7;19;42;101;1337;2026,6,pair_indices/pairs_ns2048_nself64_pair0.npz,"+0.99 [+0.06, +1.91]",results/statistics/repair_report_singleview.txt section 4,results/seed_summaries/seed_level_results.csv,checkpoints/MANIFEST.csv,configs/resnet18/ucf101_resnet_ptfz_official1_noval_fc__B4_gram.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__B4_gram.json,1. Introduction; 2.4. Second-order and bilinear pooling; 5.2. Exploratory backbone sensitivity and projection-width control,seed-matched across backbones; gates any general superiority claim
C05,Routing sits inside the operational band of B5 ZeroDecay (rho=0),UCF101,official split-1 (no val),ResNet-18 layer3 (frozen),certain,1,R3_route,B4_gram [B5 ZeroDecay (rho=0)],7;19;42;101;1337;2026,6,pair_indices/pairs_ns2048_nself64_pair0.npz,"-0.21 [-0.82, +0.41]",results/statistics/repair_report_singleview.txt section 5 (includes TOST +/-1.0),results/seed_summaries/seed_level_results.csv,checkpoints/MANIFEST.csv,configs/routing/ucf101_resnet_ptfz_official1_noval_fc__R3_route.json,configs/resnet18/ucf101_resnet_ptfz_official1_noval_fc__B4_gram.json,Abstract; 1. Introduction; 2.1. Capsule networks and routing,"TOST verdict comes from the analysis output, not from the sign"
C06,Routing sits inside the operational band of B4 SyncNorm,UCF101,official split-1 (no val),ResNet-18 layer3 (frozen),certain,1,R3_route,B4_syncnorm [B4 SyncNorm],7;19;42;101;1337;2026,6,pair_indices/pairs_ns2048_nself64_pair0.npz,"+0.09 [-0.50, +0.68]",results/statistics/repair_report_singleview.txt section 5 (includes TOST +/-1.0),results/seed_summaries/seed_level_results.csv,checkpoints/MANIFEST.csv,configs/routing/ucf101_resnet_ptfz_official1_noval_fc__R3_route.json,configs/resnet18/ucf101_resnet_ptfz_official1_noval_fc__B4_syncnorm.json,Abstract; 1. Introduction; 2.1. Capsule networks and routing,"TOST verdict comes from the analysis output, not from the sign"
C07,Routing costs ~18x the head parameters and ~1.78x readout latency,UCF101,n/a,"CLIP ViT-B/32 stem, readout path only",n/a,1,R3_route,B4_syncnorm,,,pair_indices/pairs_ns2048_nself64_pair0.npz,head params 17.81x; p50 1.78x; p95 1.77x; absolute 10.03/12.21 vs 5.64/6.88 ms,src/evaluation/synccaps_claim_analyses.py,results/timing/readout_profile_published.json,results/timing/readout_profile_replication.json,,,Abstract; 1. Introduction; 6.2. Readout cost: sync vs. linear vs. routing,"bs=1, 16 frames, fp32, 10 warm-ups + 100 timed iterations"
C08,Frozen readout beats fine-tuning (three-view protocol),UCF101,official split-1 (no val),"ResNet-18 layer3, frozen vs fine-tuned",certain,3,frozen B4_syncnorm,fine-tuned B0_linear,42;1337;7,3,pair_indices/pairs_ns2048_nself64_pair0.npz,"frozen B4 72.86 vs frozen B0 67.27 vs fine-tuned B0 69.60; B4-ftB0 +3.26, group-clustered 95% CI [+1.46, +5.07], p=3.4e-4",results/statistics/mcnemar_certain_frozenBNfix.txt,results/seed_summaries/seed_level_results.csv,results/predictions/,configs/resnet18/ucf101_resnet_ptfz_official1_noval_fc__B4_syncnorm.json,configs/fine_tuning/ucf101_resnet_pt_official1_noval__B0_linear.json,Abstract; 1. Introduction; 5.3. Frozen SyncCaps outperforms the tested full-fine-tuning baseline,THREE-VIEW. Never pool with the single-view column.
C09,Validation-carved replication of frozen vs fine-tuned,UCF101,"official split-1, validation carved",ResNet-18 layer3,certain,1,frozen B4_syncnorm,fine-tuned B0_linear,7;42;1337,3,pair_indices/pairs_ns2048_nself64_pair0.npz,"+2.81 [+0.53, +5.09] (3/3 seeds)",results/statistics/repair_report_singleview.txt section 7,results/seed_summaries/seed_level_results.csv,checkpoints/MANIFEST.csv,,,1. Introduction; 5.3. Frozen SyncCaps outperforms the tested full-fine-tuning baseline,a separate protocol from the no-val headline; never pooled with it
C10,Freezing the decay to rho=0 costs nothing (six seeds),UCF101,official split-1 (no val),ResNet-18 layer3 (frozen),certain,1,B4_gram (rho=0),B4_syncnorm (learned rho),7;19;42;101;1337;2026,6,pair_indices/pairs_ns2048_nself64_pair0.npz,"+0.30 [-0.17, +0.76] ; TOST +/-1.0 EQUIVALENT",results/statistics/repair_report_singleview.txt section 2,results/seed_summaries/seed_level_results.csv,checkpoints/MANIFEST.csv,configs/resnet18/ucf101_resnet_ptfz_official1_noval_fc__B4_gram.json,configs/resnet18/ucf101_resnet_ptfz_official1_noval_fc__B4_syncnorm.json,1. Introduction; 4.3. Evaluation metrics and protocol; 4.4. Arms and backbones,supersedes the earlier three-seed +0.75
